Stage,Status,Date,Team1,Image1,Team2,Image2,Score1,Score2
Matchday 6,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 6,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 6,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 7,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 7,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 7,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 7,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 7,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 7,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 8,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 8,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 8,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 8,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 8,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 8,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 9,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 9,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 9,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 9,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 9,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 9,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 10,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 10,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 10,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 10,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 10,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 10,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 11,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 11,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 11,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 11,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 11,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 11,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 12,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 12,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 12,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 12,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 12,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 12,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 13,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 13,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 13,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 13,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 13,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 13,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 14,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 14,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 14,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
