Stage,Status,Date,Team1,Image1,Team2,Image2,Score1,Score2
Matchday 5,,2023-11-05 08:00:00-12:00,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 5,,2023-11-05 09:00:00-12:00,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 6,,2023-11-12 06:00:00-12:00,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 6,,2023-11-12 07:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 6,,2023-11-12 07:00:00-12:00,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 6,,2023-11-12 08:00:00-12:00,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 6,,2023-11-12 08:00:00-12:00,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 6,,2023-11-12 09:00:00-12:00,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 7,,2023-11-19 06:00:00-12:00,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 7,,2023-11-19 06:00:00-12:00,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 7,,2023-11-19 06:30:00-12:00,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 7,,2023-11-19 07:00:00-12:00,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 7,,2023-11-19 09:00:00-12:00,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 7,,2023-11-19 09:00:00-12:00,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 8,,2023-11-26 07:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 8,,2023-11-26 08:00:00-12:00,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 8,,2023-11-26 08:00:00-12:00,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 8,,2023-11-26 08:00:00-12:00,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
